"HS_ID","APPLICATION","PRICE","ASH_PERC","HH","H","COCOS_PERC","COMPOST_PERC","PERLIT_PERC","CLAY_PERC","MINERAL_PERC","SDRY_PERC","CR5_CM","WT4_SEC"
1,"C","M","28.98",90,"H4-H8",0,"0",0,"10",0,"29.2","24.4","5"
2,"C","M","33.74",90,"H2-H5",0,"1",0,"0",0,"19.1","10.1","20"
3,"F","M","72.67",35,"H2-H8",0,"45",0,"0",1,"20.2","26.7","12"
4,"F","M","5.67",100,"H3-H9",0,"0",0,"0",0,"35.9","47.7","13"
5,"C","M","31.18",90,"H3-H8",0,"0",1,"1",0,"25.3","45.7",".1"
6,"C/F","M","36.22",40,"H2-H8",0,"50",1,"0",0,"22.2","13.1","1"
7,"C","M","32.09",90,"H2-H5",0,"0",1,"1",0,"27.1","54.7",".1"
8,"C","H","40.67",,"kA",0,"0",0,"0",0,"23.6","45.3",".1"
9,"C","H","30.39",90,"H3-H7",1,"1",0,"1",0,"27.2","29.3",".1"
10,"F","H","34.26",90,"kA",1,"1",0,"0",0,"22.1","30.6",".1"
11,"C/F","M","8.93",100,"H2-H9",0,"0",0,"0",0,"29.8","30.4","32"
12,"F","kA","6.17",100,"H3-H5",0,"0",0,"0",0,"22.8","40.5","3"
13,"F","kA","29.71",100,"H5-H8",0,"0",0,"0",0,"24.1","18.3","57"
14,"C/F","M","26.88",80,"H2-H8",0,"20",0,"0",0,"24.1","21.8","17"
15,"C","M","30.79",80,"H3-H7",0,"17.5",0,"0",1,"31.3","29","7"
16,"C","M","19.5",90,"H3-H8",0,"1",0,"0",0,"23.8","15.9","10"
17,"C","M","10.34",95,"H2-H8",0,"0",0,"1",0,"35.2","35.3","1"
18,"C","M","12.33",80,"H4-H8",0,"1",1,"0",0,"29.5","52.7",".1"
19,"C","H","10.78",96,"H3-H8",0,"0",1,"0",0,"27.1","36.4","1"
20,"C","H","19.44",100,"H2-H8",0,"0",0,"0",0,"27.7","46.4","2"
21,"C","M","40.91",90,"H2-H6",0,"1",0,"0",0,"19.1","21.5","1"
22,"C/F","M","30.33",90,"H2-H6",0,"1",0,"1",1,"26.3","29.8",".1"
23,"C/F","M","17.7",90,"H2-H5",0,"1",0,"0",0,"18.4","37.2","19"
24,"F","H","33.44",90,"H2-H8",0,"1",0,"0",0,"23.4","87.9",".1"
25,"F","H","35.41",60,"H3-H7",0,"0",0,"0",1,"24.7","12.7","3"
26,"C","M","39.87",90,"H3-H7",0,"0",0,"1",0,"23.4","37.2","32"
27,"C","H","36.16",90,"kA",0,"0",0,"1",0,"32.1","79.9","240"
28,"C/F","H","12.29",90,"H3-H5",0,"0",0,"1",1,"27.8","53.4","5"
29,"F","M","45.51",82,"kA",0,"10",0,"2.5",1,"24.9","69.6","7"
30,"C","M","9.64",90,"H3-H6",0,"0",0,"1",0,"24","57.7","1"
31,"C","M","10.39",97,"H3-H8",0,"0",0,"1",1,"28.4","53","1"
32,"C","H","38.13",90,"H3-H6",0,"0",0,"1",0,"20.6","42.9","62"
33,"C","H","8.94",0,"kA",100,"0",0,"0",0,"14.5","76.3",".1"
34,"C","H","23.35",0,"kA",0,"1",0,"1",0,"13","17.9",".1"
35,"C","M","29.3",100,"H2-H8",0,"0",0,"0",1,"27.6","26","10"
36,"C/F","kA","86",30,"kA",40,"40",30,"0",0,"8","40.1",".1"
