"HS_ID","ID","DBD"
1,"2W",".24"
1,"27",".26"
1,"71",".22"
2,"64",".24"
2,"9",".27"
2,"31",".24"
3,"50",".46"
3,"27",".47"
3,"6",".43"
4,"101",".2"
4,"42",".18"
4,"50",".18"
5,"60",".22"
5,"57",".22"
5,"63",".22"
6,"26",".26"
6,"11",".24"
6,"44",".24"
7,"56",".23"
7,"19",".22"
7,"64",".22"
8,"96",".26"
8,"5",".22"
8,"28",".24"
9,"5",".2"
9,"96",".19"
9,"25",".16"
9,"28",".2"
10,"32",".18"
10,"71",".22"
10,"47",".22"
10,"46",".25"
11,"63",".18"
11,"29",".17"
11,"44",".17"
12,"103",".13"
12,"31",".14"
12,"29",".13"
13,"1W",".2"
13,"6",".19"
13,"32",".18"
14,"1W",".22"
14,"8",".23"
14,"20",".24"
15,"1W",".21"
15,"54W",".21"
15,"54",".2"
16,"1W",".22"
16,"44",".22"
16,"5",".21"
17,"1W",".17"
17,"23",".17"
17,"29",".17"
18,"1W",".16"
18,"73",".16"
18,"101",".17"
19,"60",".16"
19,"71",".16"
19,"27",".16"
20,"3",".19"
20,"27",".21"
20,"73",".2"
21,"31",".31"
21,"61",".29"
21,"8",".28"
22,"8",".25"
22,"102",".24"
22,"32",".25"
23,"19",".26"
23,"61",".26"
23,"73",".27"
24,"20",".25"
24,"46",".23"
24,"141",".25"
25,"20",".21"
25,"28",".21"
25,"73",".21"
26,"28",".23"
26,"54",".22"
27,"23",".23"
27,"96",".21"
28,"3",".24"
28,"28",".24"
28,"36",".2"
29,"46",".28"
29,"71",".27"
30,"3",".25"
30,"73",".25"
30,"101",".27"
31,"8",".2"
31,"23",".22"
31,"91",".22"
31,"112",".21"
32,"20",".25"
32,"28",".24"
32,"34",".26"
32,"38",".27"
32,"43",".25"
33,"5",".15"
33,"19",".15"
33,"23",".14"
34,"3",".19"
34,"46",".21"
34,"55",".19"
34,"301",".21"
34,"602",".2"
35,"60",".32"
35,"73",".28"
35,"11",".33"
36,"20",".32"
36,"28",".24"
36,"63",".3"
